title,year,genre2,genre3,runtime,rating,votes
Puss in Boots: The Last Wish,2022, Adventure, Comedy,102,7.8,"18,226"
Strange World,2022, Action, Adventure,102,5.5,"27,296"
Guillermo del Toro's Pinocchio,2022, Drama, Family,117,7.7,"60,908"
Encanto,2021, Comedy, Family,102,7.2,"223,651"
"The Boy, the Mole, the Fox and the Horse",2022, Family,,32,8.1,"3,893"
Disenchanted,2022, Adventure, Comedy,119,5.6,"19,267"
The Bad Guys,2022, Adventure, Comedy,100,6.8,"41,895"
Sing 2,2021, Adventure, Comedy,110,7.4,"70,308"
"Lyle, Lyle, Crocodile",2022, Adventure, Comedy,106,6.1,"6,049"
The Amazing Maurice,2022, Adventure, Comedy,93,6.3,"1,210"
DC League of Super-Pets,2022, Action, Adventure,105,7.2,"64,180"
Cyberpunk: Edgerunners,2022, Action, Adventure,24,8.3,"48,479"
Lightyear,2022, Action, Adventure,100,6,"106,041"
Turning Red,2022, Adventure, Comedy,100,7,"123,089"
Minions: The Rise of Gru,2022, Adventure, Comedy,87,6.6,"65,244"
Marcel the Shell with Shoes On,2021, Comedy, Drama,90,7.8,"9,026"
Raya and the Last Dragon,2021, Action, Adventure,107,7.3,"153,548"
Mad God,2021, Fantasy, Horror,83,6.8,"9,381"
The Sea Beast,2022, Adventure, Comedy,115,7.1,"42,144"
Soul,2020, Adventure, Comedy,100,8,"332,406"
Night at the Museum: Kahmunrah Rises Again,2022, Adventure, Comedy,77,5,"1,450"
The Witcher: Nightmare of the Wolf,2021, Action, Adventure,83,7.2,"45,456"
Entergalactic,2022, Comedy, Music,93,7.4,"9,821"
Suzume no tojimari,2022, Action, Adventure,122,7.9,693
Scrooge: A Christmas Carol,2022, Adventure, Comedy,96,6.2,"5,563"
The Mitchells vs the Machines,2021, Adventure, Comedy,114,7.6,"110,431"
Luca,2021, Adventure, Comedy,95,7.4,"165,220"
Wendell & Wild,2022, Adventure, Comedy,105,6.4,"8,684"
The Croods: A New Age,2020, Adventure, Comedy,95,6.9,"44,688"
Trolls World Tour,2020, Adventure, Comedy,91,6.1,"24,159"
Chip 'n Dale: Rescue Rangers,2022, Adventure, Comedy,97,7,"41,025"
Hotel Transylvania: Transformania,2022, Adventure, Comedy,87,6,"31,809"
Apollo 10 1/2: A Space Age Adventure,2022, Adventure, Drama,97,7.2,"9,054"
Rumble,2021, Comedy, Family,95,5.9,"7,136"
Ryû to sobakasu no hime,2021, Adventure, Drama,121,7.1,"12,825"
Paws of Fury: The Legend of Hank,2022, Action, Comedy,98,5.7,"4,572"
Doragon bôru sûpâ: Sûpâ hîrô,2022, Action, Adventure,100,7.1,"9,801"
PAW Patrol: The Movie,2021, Action, Adventure,86,6.1,"6,532"
The Addams Family 2,2021, Adventure, Comedy,93,5.4,"13,273"
Space Jam: A New Legacy,2021, Adventure, Comedy,115,4.5,"72,823"
Ron's Gone Wrong,2021, Adventure, Comedy,107,7,"34,792"
Pantheon,2022, Action, Drama,41,8.2,"2,747"
Kimetsu no Yaiba: Mugen Ressha-Hen,2020, Action, Adventure,117,8.2,"59,268"
My Father's Dragon,2022, Adventure, Comedy,99,6.6,"1,950"
The Ice Age Adventures of Buck Wild,2022, Adventure, Comedy,82,4.3,"14,021"
Gekijouban Jujutsu Kaisen 0,2021, Action, Fantasy,105,7.8,"20,111"
Clifford the Big Red Dog,2021, Adventure, Comedy,96,5.9,"14,061"
The Bob's Burgers Movie,2022, Adventure, Comedy,102,7,"17,745"
Wish Dragon,2021, Adventure, Comedy,98,7.2,"27,889"
WolfWalkers,2020, Adventure, Family,103,8,"33,312"
The Boss Baby: Family Business,2021, Adventure, Comedy,107,5.9,"18,955"
The First Slam Dunk,2022, Comedy, Drama,124,8.6,413
Injustice,2021, Action, Adventure,78,6.4,"13,167"
One Piece Film Red,2022, Action, Adventure,115,6.9,"8,427"
The Midnight Gospel,2020, Adventure, Comedy,23,8.2,"20,273"
Scoob!,2020, Adventure, Comedy,93,5.6,"27,389"
The SpongeBob Movie: Sponge on the Run,2020, Adventure, Comedy,91,5.9,"18,900"
Back to the Outback,2021, Adventure, Comedy,95,6.5,"8,772"
